,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
276,R164,"(40.78864, -73.97622)",40.78864,-73.97622,"(311, '86 St')",M,1,3745802,"[(310, '96 St'), (312, '79 St')]"
277,R168,"(40.79392, -73.97232)",40.79392,-73.97232,"(310, '96 St')",M,"3,1,2",7196838,"[(309, '103 St'), (311, '86 St')]"
278,R170,"(40.79945, -73.96838)",40.79945,-73.96838,"(309, '103 St')",M,1,2623471,"[(308, 'Cathedral Pkwy (110 St)'), (310, '96 St')]"
279,R172,"(40.80397, -73.96685)",40.80397,-73.96685,"(308, 'Cathedral Pkwy (110 St)')",M,1,2662737,"[(307, '116 St-Columbia University'), (309, '103 St')]"
280,R173,"(40.80772, -73.96411)",40.80772,-73.96411,"(307, '116 St-Columbia University')",M,1,2979011,"[(306, '125 St'), (308, 'Cathedral Pkwy (110 St)')]"
281,R174,"(40.81558, -73.95837)",40.81558,-73.95837,"(306, '125 St')",M,1,1808101,"[(305, '137 St-City College'), (307, '116 St-Columbia University')]"
282,R176,"(40.82201, -73.95367)",40.82201,-73.95367,"(305, '137 St-City College')",M,1,2596411,"[(304, '145 St'), (306, '125 St')]"
283,R178,"(40.82655, -73.95036)",40.82655,-73.95036,"(304, '145 St')",M,1,2059736,"[(303, '157 St'), (305, '137 St-City College')]"
284,R180,"(40.83404, -73.94489)",40.83404,-73.94489,"(303, '157 St')",M,1,2246275,"[(605, '168 St-Washington Hts'), (304, '145 St')]"
285,R182,"(40.84072, -73.93956)",40.84072,-73.93956,"(605, '168 St')",M,"C,1,A",4768980,"[(147, '175 St'), (149, '163 St-Amsterdam Av')]"
286,R183,"(40.84951, -73.93359)",40.84951,-73.93359,"(301, '181 St')",M,1,2014114,"[(300, '191 St'), (605, '168 St-Washington Hts')]"
287,R185,"(40.85522, -73.92941)",40.85522,-73.92941,"(300, '191 St')",M,1,1554594,"[(299, 'Dyckman St'), (301, '181 St')]"
288,R186,"(40.86053, -73.92554)",40.86053,-73.92554,"(299, 'Dyckman St')",M,1,1477326,"[(298, '207 St'), (300, '191 St')]"
290,R190,"(40.86945, -73.91528)",40.86945,-73.91528,"(297, '215 St')",M,1,430466,"[(296, 'Marble Hill-225 St'), (298, '207 St')]"
291,R192,"(40.87456, -73.90983)",40.87456,-73.90983,"(296, 'Marble Hill-225 St')",M,1,1037756,"[(295, '231 St'), (297, '215 St')]"
292,R194,"(40.87886, -73.90483)",40.87886,-73.90483,"(295, '231 St')",BX,1,1842980,"[(294, '238 St'), (296, 'Marble Hill-225 St')]"
293,R196,"(40.88467, -73.90087)",40.88467,-73.90087,"(294, '238 St')",BX,1,897846,"[(293, 'Van Cortlandt Park-242 St'), (295, '231 St')]"
295,R201,"(40.70482, -74.01407)",40.70482,-74.01407,"(414, 'Bowling Green')",M,"5,4",4444543,"[(413, 'Wall St'), (620, 'Borough Hall')]"
296,R203,"(40.70756, -74.01186)",40.70756,-74.01186,"(413, 'Wall St')",M,"5,4",2796478,"[(628, 'Fulton St'), (414, 'Bowling Green')]"
297,R215,"(40.7223, -73.99714)",40.7223,-73.99714,"(409, 'Spring St')",M,6,2584001,"[(619, 'Bleecker St'), (623, 'Canal St')]"
298,R217,"(40.72591, -73.99466)",40.72591,-73.99466,"(619, 'Bleecker St')",M,"F,M,B,,D,6",7951876,"[(407, 'Astor Pl'), (409, 'Spring St')]"
299,R219,"(40.73005, -73.99107)",40.73005,-73.99107,"(407, 'Astor Pl')",M,6,3281566,"[(602, '14 St-Union Sq'), (619, 'Bleecker St')]"
300,R226,"(40.73986, -73.9866)",40.73986,-73.9866,"(405, '23 St')",M,6,4897247,"[(404, '28 St'), (602, '14 St-Union Sq')]"
301,R228,"(40.74307, -73.98426)",40.74307,-73.98426,"(404, '28 St')",M,6,3738556,"[(403, '33 St'), (405, '23 St')]"
