,Daytime_Routes,Complex_ID,Complex_ID_Next,GTFS_Latitude_Next,GTFS_Longitude_Next,GTFS_Latitude,GTFS_Longitude,Stop_Name,Stop_Name_Next
191,A S,202,201,40.585307,-73.820558,40.583209,-73.827559,Beach 105 St,Beach 98 St
192,A S,203,202,40.583209,-73.827559,40.580903,-73.835592,Rockaway Park-Beach 116 St,Beach 105 St
193,A,204,203,40.580903,-73.835592,40.590927,-73.796924,Beach 67 St,Rockaway Park-Beach 116 St
194,A,205,204,40.590927,-73.796924,40.592374,-73.788522,Beach 60 St,Beach 67 St
195,A,206,205,40.592374,-73.788522,40.592943,-73.776013,Beach 44 St,Beach 60 St
196,A,207,206,40.592943,-73.776013,40.595398,-73.768175,Beach 36 St,Beach 44 St
197,A,208,207,40.595398,-73.768175,40.600066,-73.761353,Beach 25 St,Beach 36 St
198,A,209,208,40.600066,-73.761353,40.603995,-73.755405,Far Rockaway-Mott Av,Beach 25 St
199,B D,211,210,40.874811,-73.878855,40.873244,-73.887138,Bedford Park Blvd,Norwood-205 St
200,B D,212,211,40.873244,-73.887138,40.866978,-73.893509,Kingsbridge Rd,Bedford Park Blvd
201,B D,213,212,40.866978,-73.893509,40.861296,-73.897749,Fordham Rd,Kingsbridge Rd
202,B D,214,213,40.861296,-73.897749,40.856093,-73.900741,182-183 Sts,Fordham Rd
203,B D,215,214,40.856093,-73.900741,40.85041,-73.905227,Tremont Av,182-183 Sts
204,B D,216,215,40.85041,-73.905227,40.8459,-73.910136,174-175 Sts,Tremont Av
205,B D,217,216,40.8459,-73.910136,40.839306,-73.9134,170 St,174-175 Sts
206,B D,218,217,40.839306,-73.9134,40.833771,-73.91844,167 St,170 St
207,B D,604,218,40.833771,-73.91844,40.827905,-73.925651,161 St-Yankee Stadium,167 St
208,B D,220,604,40.827905,-73.925651,40.830135,-73.938209,155 St,161 St-Yankee Stadium
209,F,222,221,40.754203,-73.942836,40.759145,-73.95326,Roosevelt Island,21 St-Queensbridge
210,F Q,223,222,40.759145,-73.95326,40.764629,-73.966113,Lexington Av/63 St,Roosevelt Island
