,station_complex_id,borough,routes,latitude,longitude,date,ridership
4188,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-03-31,55634
4189,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-04-30,51118
4190,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-05-31,52803
4191,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-06-30,49829
4192,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-07-31,44203
4193,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-08-31,46317
4194,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-09-30,50309
4195,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-10-31,51648
4196,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-11-30,49794
4197,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-12-31,47860
4198,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2023-01-31,49829
4199,R336,BX,2,40.90312576293945,-73.85061645507812,2022-02-28,61253
4200,R336,BX,2,40.90312576293945,-73.85061645507812,2022-03-31,76971
4201,R336,BX,2,40.90312576293945,-73.85061645507812,2022-04-30,70160
4202,R336,BX,2,40.90312576293945,-73.85061645507812,2022-05-31,73891
4203,R336,BX,2,40.90312576293945,-73.85061645507812,2022-06-30,72335
4204,R336,BX,2,40.90312576293945,-73.85061645507812,2022-07-31,66524
4205,R336,BX,2,40.90312576293945,-73.85061645507812,2022-08-31,68593
4206,R336,BX,2,40.90312576293945,-73.85061645507812,2022-09-30,73019
4207,R336,BX,2,40.90312576293945,-73.85061645507812,2022-10-31,76546
4208,R336,BX,2,40.90312576293945,-73.85061645507812,2022-11-30,72806
4209,R336,BX,2,40.90312576293945,-73.85061645507812,2022-12-31,69756
4210,R336,BX,2,40.90312576293945,-73.85061645507812,2023-01-31,70767
4211,R401,BX,6,40.81047439575195,-73.92613983154297,2022-02-28,103213
4212,R401,BX,6,40.81047439575195,-73.92613983154297,2022-03-31,136718
4213,R401,BX,6,40.81047439575195,-73.92613983154297,2022-04-30,128576
4214,R401,BX,6,40.81047439575195,-73.92613983154297,2022-05-31,142904
4215,R401,BX,6,40.81047439575195,-73.92613983154297,2022-06-30,140302
4216,R401,BX,6,40.81047439575195,-73.92613983154297,2022-07-31,118386
4217,R401,BX,6,40.81047439575195,-73.92613983154297,2022-08-31,117244
4218,R401,BX,6,40.81047439575195,-73.92613983154297,2022-09-30,124227
4219,R401,BX,6,40.81047439575195,-73.92613983154297,2022-10-31,136133
4220,R401,BX,6,40.81047439575195,-73.92613983154297,2022-11-30,128378
4221,R401,BX,6,40.81047439575195,-73.92613983154297,2022-12-31,124748
4222,R401,BX,6,40.81047439575195,-73.92613983154297,2023-01-31,132594
4223,R402,BX,6,40.80756759643555,-73.91924285888672,2022-02-28,83109
4224,R402,BX,6,40.80756759643555,-73.91924285888672,2022-03-31,106512
4225,R402,BX,6,40.80756759643555,-73.91924285888672,2022-04-30,94177
